H	Tau
T	
-0.05463071256	0.229804
-0.05452221065	0.22968
-0.05455837795	0.229546
-0.05470304717	0.229517
-0.05463071256	0.229527
-0.05463071256	0.229475
-0.05455837795	0.229494
-0.05449508517	0.229606
-0.05442275056	0.229743
-0.05459454525	0.229744
-0.05463071256	0.22967
-0.05459454525	0.229701
-0.05452221065	0.229679
-0.05463071256	0.229659
-0.05473921447	0.229681
-0.05459454525	0.22972
-0.05455837795	0.229648
-0.05459454525	0.229637
-0.05455837795	0.229674
-0.05463071256	0.229784
-0.05455837795	0.229686
-0.05463071256	0.229599
-0.05452221065	0.229667
-0.05459454525	0.22977
-0.05459454525	0.229843
-0.05459454525	0.229767
-0.05466687986	0.229669
-0.05459454525	0.229665
-0.05459454525	0.229655
-0.05455837795	0.229577
-0.05459454525	0.229521
-0.05463071256	0.229527
-0.05459454525	0.229584
-0.05455837795	0.229603
-0.05459454525	0.229595
-0.05455837795	0.229573
-0.05463071256	0.229595
-0.05452221065	0.229574
-0.05459454525	0.229529
-0.05463071256	0.229642
-0.05459454525	0.229755
-0.05455837795	0.229839
-0.05463071256	0.229892
-0.05445891787	0.230039
-0.05455837795	0.229955
-0.05455837795	0.229774
-0.05455837795	0.229646
-0.05455837795	0.229617
-0.05455837795	0.229569
-0.05463071256	0.229474
-0.05466687986	0.229436
-0.05459454525	0.229459
-0.05452221065	0.22954
-0.05459454525	0.229556
-0.05455837795	0.229612
-0.05455837795	0.22966
-0.05452221065	0.229599
-0.05442275056	0.229744
-0.05449508517	0.229827
-0.05459454525	0.22984
-0.05466687986	0.229828
-0.05449508517	0.229932
-0.05463071256	0.229972
-0.05452221065	0.229966
-0.05463071256	0.229903
-0.05455837795	0.229842
-0.05455837795	0.229842
-0.05455837795	0.229763
-0.05449508517	0.229652
-0.05470304717	0.229642
-0.05463071256	0.229663
-0.05463071256	0.229614
-0.05445891787	0.229504
-0.05459454525	0.229555
-0.05455837795	0.22955
-0.05449508517	0.229533
-0.05449508517	0.229528
-0.05455837795	0.229649
-0.05459454525	0.229754
-0.05455837795	0.229838
-0.05463071256	0.229825
-0.05452221065	0.229892
-0.05459454525	0.229913
-0.05459454525	0.229925
-0.05463071256	0.229933
-0.05473921447	0.229994
-0.05470304717	0.230025
-0.05455837795	0.229994
-0.05445891787	0.229941
-0.05452221065	0.22993
-0.05449508517	0.229845
-0.05455837795	0.229668
-0.05455837795	0.229695
-0.05455837795	0.229833
-0.05455837795	0.229887
-0.05452221065	0.229891
-0.05452221065	0.229902
-0.05470304717	0.230008
-0.05466687986	0.230042
-0.05452221065	0.230041
-0.05445891787	0.229996
-0.05452221065	0.230021
-0.05459454525	0.229989
-0.05449508517	0.229956
-0.05455837795	0.22992
-0.05459454525	0.229908
-0.05449508517	0.229896
-0.05455837795	0.229888
-0.05445891787	0.229894
-0.05452221065	0.229915
-0.05452221065	0.229914
-0.05463071256	0.229834
-0.05459454525	0.229819
-0.05445891787	0.229963
-0.05452221065	0.230007
-0.05455837795	0.229882
-0.05449508517	0.229783
-0.05459454525	0.229794
-0.05463071256	0.229907
-0.05459454525	0.229947
-0.05455837795	0.229924
-0.05455837795	0.229975
-0.05466687986	0.229975
-0.05470304717	0.23003
-0.05466687986	0.230046
-0.05459454525	0.230053
-0.05389832466	0.230044
-0.01170012284	0.227742
0.08586117918	0.222183
0.01689013096	0.221774
-0.02387946245	0.192891
-0.04331034647	0.192147
-0.04879873483	0.20481
-0.05071560193	0.214713
-0.05284947285	0.221177
-0.04460332759	0.225694
-0.03174585106	0.22772
-0.03740603412	0.228887
-0.03793046003	0.22954
-0.03811129654	0.229902
-0.03744220142	0.229902
-0.03646568422	0.229907
-0.03727040673	0.229852
-0.03657418613	0.229896
-0.03723423943	0.229834
-0.03744220142	0.229751
-0.03789429272	0.229724
-0.03817458933	0.230023
-0.03824692393	0.230091
-0.03611305301	0.229994
-0.03779483264	0.229878
-0.03684544091	0.229826
-0.03702627743	0.229821
-0.03734274134	0.229737
-0.03747836873	0.229517
-0.03663747891	0.229537
-0.03657418613	0.229643
-0.03639334961	0.229648
-0.03611305301	0.229609
-0.03657418613	0.229544
-0.0358689237	0.229427
-0.03653801883	0.229548
-0.036321015	0.229557
-0.03642951691	0.229536
-0.03635718231	0.229483
-0.03642951691	0.229596
-0.03590509101	0.229581
-0.03807512924	0.229786
-0.03716190482	0.229678
-0.03849105324	0.229426
-0.03811129654	0.229276
-0.03824692393	0.22939
-0.03849105324	0.229523
-0.03849105324	0.229644
-0.03849105324	0.229721
-0.03894314453	0.229745
-0.03890697723	0.229743
-0.03859955515	0.229666
-0.03873518254	0.229643
-0.03873518254	0.229665
-0.03849105324	0.229736
-0.03877134984	0.229761
-0.03642951691	0.229777
-0.03502803389	0.229859
-0.03702627743	0.229924
-0.03859955515	0.229936
-0.03800279463	0.229867
-0.03817458933	0.229811
-0.03828309124	0.229939
-0.03862668062	0.229904
-0.03783099994	0.229903
-0.03852722054	0.229954
-0.03838255132	0.22999
-0.03807512924	0.230039
-0.03793046003	0.229937
-0.03862668062	0.229763
-0.03775866533	0.229692
-0.03813842202	0.229751
-0.03789429272	0.229889
-0.03856338784	0.230179
-0.03740603412	0.230076
-0.036321015	0.230154
-0.0360407184	0.230505
-0.03723423943	0.230483
-0.03436798059	0.230076
-0.03566096171	0.229944
-0.03775866533	0.229783
-0.03796662733	0.2297
-0.03793046003	0.229376
-0.03796662733	0.229244
-0.03859955515	0.229292
-0.03813842202	0.229387
-0.03881655897	0.229415
-0.03857242967	0.229561
-0.03850913689	0.229803
-0.03829213306	0.229867
-0.03895218636	0.229913
-0.03890697723	0.229889
-0.03835542585	0.229971
-0.03856338784	0.230021
-0.03868093158	0.229927
-0.03784004177	0.229774
-0.03689969186	0.229554
-0.03878943349	0.229546
-0.03817458933	0.22966
-0.03734274134	0.229579
-0.0379575855	0.229537
-0.03779483264	0.229555
-0.03828309124	0.229638
-0.03877134984	0.229812
-0.03789429272	0.229783
-0.03840063498	0.22945
-0.03793046003	0.229377
-0.0386176388	0.229619
-0.03811129654	0.229712
-0.03819267298	0.229779
-0.03786716724	0.2299
-0.03854530419	0.230034
-0.03777674898	0.229732
-0.03802087828	0.229527
-0.03782195811	0.229511
-0.03769537255	0.229624
-0.03802087828	0.229575
-0.03849105324	0.229568
-0.03811129654	0.229783
-0.0379214182	0.229925
-0.03799375281	0.229974
-0.03824692393	0.230036
-0.03784908359	0.229906
-0.0386176388	0.229881
-0.03858147149	0.229945
-0.03877134984	0.230008
-0.03760495429	0.229965
-0.03770441438	0.230054
-0.03834638402	0.229989
-0.03824692393	0.22964
-0.03799375281	0.229619
-0.03866284793	0.229752
-0.03855434602	0.229825
-0.03852722054	0.22999
-0.0381655475	0.229942
-0.03895218636	0.229885
-0.03859051332	0.229945
-0.03872614071	0.230213
-0.03856338784	0.230033
-0.03862668062	0.22989
-0.03856338784	0.229912
-0.03823788211	0.229968
-0.03799375281	0.22967
-0.03893410271	0.229614
-0.03824692393	0.229672
-0.03868093158	0.229766
-0.03713477934	0.229881
-0.03833734219	0.229963
-0.03824692393	0.229877
-0.03804800376	0.229777
-0.03848201141	0.229753
-0.03817458933	0.229937
-0.0351365358	0.229916
-0.02548890748	0.229707
0.01102198589	0.207276
0.01867137068	0.205189
0.02472035227	0.210167
0.03034436803	0.21982
0.03317445956	0.223961
0.04320184456	0.227281
0.04871735839	0.228544
0.05281330554	0.229005
0.05990209707	0.229704
0.06454959559	0.229885
0.07020977861	0.230023
0.07286807542	0.229979
0.0750652391	0.22998
0.08522825137	0.230131
0.08844714136	0.230075
0.08833863945	0.230092
0.08833863945	0.230073
0.08820301207	0.230088
0.09058101226	0.230095
0.09060813773	0.230077
0.09060813773	0.22997
0.09054484495	0.230039
0.09058101226	0.230011
0.09060813773	0.23002
0.090490594	0.230003
0.09059909591	0.229948
0.09064430504	0.230048
0.09061717956	0.230146
0.09050867765	0.230143
0.09066238869	0.230185
0.09067143052	0.230144
0.09056292861	0.230132
0.09063526321	0.230169
0.09053580313	0.230221
0.09058101226	0.230203
0.09061717956	0.230056
0.0905267613	0.229947
0.09057197043	0.230001
0.09055388678	0.229973
0.09071663964	0.229892
0.09059909591	0.229864
0.090490594	0.229793
0.09053580313	0.229745
0.09064430504	0.229705
0.09072568147	0.229802
0.090490594	0.229865
0.09060813773	0.229849
0.09064430504	0.229762
0.09046346852	0.22974
0.09063526321	0.229869
0.09062622139	0.229863
0.0905267613	0.229826
0.09061717956	0.229868
0.09060813773	0.229848
0.09058101226	0.229917
0.09055388678	0.229983
0.09057197043	0.229958
0.09059909591	0.229838
0.09058101226	0.229723
0.09049963582	0.229896
0.09063526321	0.23007
0.09059005408	0.230113
0.09050867765	0.230061
0.09057197043	0.230094
0.09059005408	0.23016
